WB Reference Type	Number
Journal_article	24297
Meeting_abstract	23059
Review	3709
Gazette_article	3072
Comment	578
Book_chapter	397
Micropublication	188
News	171
Book	160
Published_erratum	147
Method	117
Letter	116
WormBook	77
Editorial	77
Historical_article	47
Interview	34
Congresses	25
Biography	24
Retraction_of_publication	14
Retracted_publication	13
Lectures	5
Other	3
Interactive_tutorial	3
Technical_report	2
Monograph	1
Email	0
Directory	0
